run_id,fineness,boundary_layers,tet_nonortho_min,tet_nonortho_max,tet_nonortho_average,tet_nonortho_p99_99,tet_edge_ratio_min,tet_edge_ratio_max,tet_edge_ratio_average,tet_edge_ratio_p99_99,tet_volume_ratio_min,tet_volume_ratio_max,tet_volume_ratio_average,tet_volume_ratio_p99_99,tet_aspect_ratio_min,tet_aspect_ratio_max,tet_aspect_ratio_average,tet_aspect_ratio_p99_99,tet_skewness_min,tet_skewness_max,tet_skewness_average,tet_skewness_p99_99,total_cells,label
run_001,5,1,0.0,87.6,27.8,87.6,1.0,18.7,1.7,18.7,1.0,45.1,2.0,45.1,1.0,26.0,1.5,26.0,0.0,4.2,0.3,4.2,947046,marginal
run_002,2,1,0.0,87.7,29.6,87.7,1.0,18.2,1.7,18.2,1.0,59.1,2.0,59.1,1.0,35.6,1.7,35.6,0.0,4.5,0.4,4.5,433296,marginal
run_003,8,1,0.0,81.2,32.9,81.2,1.0,13.9,1.7,13.9,1.0,70.1,2.0,70.1,1.0,48.1,1.7,48.1,0.0,3.4,0.3,3.4,3787644,good
run_004,5,0,0.0,68.6,29.3,68.6,1.0,5.4,1.7,5.4,1.0,8.2,2.0,8.2,1.0,3.4,1.6,3.4,0.0,1.3,0.3,1.3,958256,good
run_005,1,0,0.0,72.4,29.7,72.4,1.0,5.6,1.7,5.6,1.0,10.2,2.0,10.2,1.0,3.4,1.7,3.4,0.0,1.3,0.4,1.3,340353,good
run_006,1,1,0.0,88.8,29.8,88.8,1.0,19.6,1.7,19.6,1.0,51.0,2.0,51.0,1.0,34.9,1.7,34.9,0.0,2.3,0.4,2.3,357432,bad
run_007,3,1,0.0,89.4,29.8,89.4,1.0,19.8,1.7,19.8,1.0,64.7,2.0,64.7,1.0,79.9,1.7,79.9,0.0,5.3,0.4,5.3,506715,bad
run_008,3,0,0.0,68.2,29.8,68.2,1.0,4.6,1.7,4.6,1.0,9.7,2.0,9.7,1.0,3.6,1.7,3.6,0.0,1.3,0.4,1.3,466041,good
run_009,6,1,0.0,86.6,29.7,86.6,1.0,18.5,1.7,18.5,1.0,68.0,2.0,68.0,1.0,38.2,1.7,38.2,0.0,4.1,0.3,4.1,1236411,marginal
run_010,4,1,0.0,88.9,29.8,88.9,1.0,19.8,1.7,19.8,1.0,167.5,2.0,167.5,1.0,46.8,1.7,46.8,0.0,4.7,0.4,4.7,606741,bad
run_011,7,1,0.0,86.2,28.1,86.2,1.0,16.6,1.7,16.6,1.0,81.4,2.0,81.4,1.0,36.7,1.7,36.7,0.0,4.5,0.3,4.5,1650537,marginal
